area,prov,dist,area_name,rowtotal,a_Electricity,b_Solar,c_Kerosene,d_BioGas,e_Others
10,0,0,"Nepal",6660841,6139131,439282,38907,2042,41479
21,0,0,"Urban Munipalities",4474699,4280126,153974,20440,1061,19098
22,0,0,"Rural Municipalities",2186142,1859005,285308,18467,981,22381
31,0,0,"Mountain",409260,321058,81401,1572,186,5043
32,0,0,"Hill",2945030,2617288,296449,8996,507,21790
33,0,0,"Tarai",3306551,3200785,61432,28339,1349,14646
40,1,0,"Province-1",1190755,1115686,59864,9765,295,5145
40,2,0,"Madhesh",1156383,1132078,9511,10645,613,3536
40,3,0,"Bagmati",1567917,1526025,36537,2203,125,3027
40,4,0,"Gandaki",661632,645780,12633,1505,105,1609
40,5,0,"Lumbini",1141345,1069081,51425,11368,549,8922
40,6,0,"Karnali",366037,181676,175306,1775,145,7135
40,7,0,"Sudur Paschim",576772,468805,94006,1646,210,12105
50,1,1,"Taplejung",27776,24059,3135,311,9,262
50,1,2,"Sankhuwasabha",39118,34055,4225,356,18,464
50,1,3,"Solukhumbu",26239,24922,951,111,7,248
50,1,4,"Okhaldhunga",34286,26023,7817,167,5,274
50,1,5,"Khotang",41720,34876,5891,376,22,555
50,1,6,"Bhojpur",38580,27088,10368,343,10,771
50,1,7,"Dhankuta",37616,36596,594,274,7,145
50,1,8,"Terhathum",21845,20911,709,157,3,65
50,1,9,"Panchthar",42437,36735,5022,449,15,216
50,1,10,"Ilam",70501,66360,3118,667,20,336
50,1,11,"Jhapa",245019,241340,1779,1568,26,306
50,1,12,"Morang",272160,265453,3098,3087,72,450
50,1,13,"Sunsari",212407,209048,1608,1392,64,295
50,1,14,"Udayapur",81051,68220,11549,507,17,758
50,2,15,"Saptari",146816,144201,675,1496,74,370
50,2,16,"Siraha",148549,146345,939,883,75,307
50,2,17,"Dhanusa",177091,175354,576,859,48,254
50,2,18,"Mahottari",137886,135673,506,1194,61,452
50,2,19,"Sarlahi",164824,159544,2312,2035,115,818
50,2,20,"Rautahat",137025,133394,1135,1696,116,684
50,2,21,"Bara",131179,127198,2190,1306,73,412
50,2,22,"Parsa",113013,110369,1178,1176,51,239
50,3,23,"Dolakha",49493,48743,607,64,5,74
50,3,24,"Sindhupalchok",71697,69983,1488,143,6,77
50,3,25,"Rasuwa",11131,10835,186,50,4,56
50,3,26,"Dhading",83622,80063,2899,259,14,387
50,3,27,"Nuwakot",68646,67605,722,211,8,100
50,3,28,"Kathmandu",542892,541489,1144,86,23,150
50,3,29,"Bhaktapur",108406,107361,974,43,1,27
50,3,30,"Lalitpur",140130,138640,1372,54,12,52
50,3,31,"Kavrepalanchok",91330,87981,3146,101,7,95
50,3,32,"Ramechhap",46466,45714,542,97,6,107
50,3,33,"Sindhuli",69317,56585,11920,271,13,528
50,3,34,"Makwanpur",105620,98606,5982,500,12,520
50,3,35,"Chitawan",179167,172420,5555,324,14,854
50,4,36,"Gorkha",71729,69370,1935,187,16,221
50,4,37,"Manang",1547,1336,208,3,0,0
50,4,38,"Mustang",3606,2782,807,6,1,10
50,4,39,"Myagdi",28766,27348,992,151,12,263
50,4,40,"Kaski",160416,159406,746,150,11,103
50,4,41,"Lamjung",44074,43567,319,99,8,81
50,4,42,"Tanahu",88513,86061,1941,288,24,199
50,4,43,"Nawalparasi (Bardaghat Susta East)",93850,89634,3788,218,5,205
50,4,44,"Syangja",68923,68289,457,122,6,49
50,4,45,"Parbat",36112,35759,220,67,11,55
50,4,46,"Baglung",64096,62228,1220,214,11,423
50,5,47,"Rukum (East)",12878,11364,1326,24,4,160
50,5,48,"Rolpa",52206,38056,13055,245,11,839
50,5,49,"Pyuthan",56195,53047,2269,170,8,701
50,5,50,"Gulmi",66100,64491,1180,230,10,189
50,5,51,"Arghakhanchi",48449,46343,1680,186,7,233
50,5,52,"Palpa",64991,59927,4751,175,26,112
50,5,53,"Nawalparasi (Bardaghat Susta West)",82709,80023,1566,835,17,268
50,5,54,"Rupandehi",238171,233619,1243,2452,115,742
50,5,55,"Kapilbastu",121861,115743,1479,2856,136,1647
50,5,56,"Dang",162266,149500,10243,1011,61,1451
50,5,57,"Banke",129234,115289,10617,1850,125,1353
50,5,58,"Bardiya",106285,101679,2016,1334,29,1227
50,6,59,"Dolpa",9380,5502,3789,45,3,41
50,6,60,"Mugu",12430,4293,7817,101,3,216
50,6,61,"Humla",11204,6342,4368,23,83,388
50,6,62,"Jumla",24422,16693,7525,31,6,167
50,6,63,"Kalikot",26770,6494,19694,53,2,527
50,6,64,"Dailekh",54594,16427,36398,537,16,1216
50,6,65,"Jajarkot",37453,9471,26070,293,8,1611
50,6,66,"Rukum (West)",37290,24583,12034,130,4,539
50,6,67,"Salyan",54672,24775,28706,352,9,830
50,6,68,"Surkhet",97822,67096,28905,210,11,1600
50,7,69,"Bajura",28041,22921,4342,67,7,704
50,7,70,"Bajhang",38025,22074,14733,81,23,1114
50,7,71,"Darchula",28381,20024,7526,127,9,695
50,7,72,"Baitadi",49407,24636,23708,198,21,844
50,7,73,"Dadeldhura",31172,24996,5090,55,15,1016
50,7,74,"Doti",45140,32760,10395,220,21,1744
50,7,75,"Achham",49567,26435,19283,131,42,3676
50,7,76,"Kailali",195872,185995,8090,390,40,1357
50,7,77,"Kanchanpur",111167,108964,839,377,32,955
