area,prov,dist,area_name,rowtotal,x_NoFacility,atleastOne,a_Radio,b_TV,c_LandLinePhone,d_MobilePhone1,e_MobilePhone2,f_Computer,g_Internet,h_CarJeep,i_Motorcycle,j_Bicycle,k_ElectricFan,l_Refrigerator,m_WashingMachine,n_AirConditionr
10,0,0,"Nepal",6660841,258540,6402301,2280123,3291185,301604,4876561,4862885,998478,2514510,204990,1816121,2347433,3535338,1577195,279637,56601
21,0,0,"Urban Munipalities",4474699,126648,4348051,1475935,2519839,275637,3152746,3503879,890781,2044989,181315,1461190,1719321,2772163,1392302,268626,52465
22,0,0,"Rural Municipalities",2186142,131892,2054250,804188,771346,25967,1723815,1359006,107697,469521,23675,354931,628112,763175,184893,11011,4136
31,0,0,"Mountain",409260,33174,376086,210199,117008,8922,335532,219404,19592,69725,3618,22339,4060,18032,14989,1367,364
32,0,0,"Hill",2945030,121076,2823954,1157201,1476103,200319,2157769,2179999,584120,1277851,124700,702188,218573,867776,695689,179471,21113
33,0,0,"Tarai",3306551,104290,3202261,912723,1698074,92363,2383260,2463482,394766,1166934,76672,1091594,2124800,2649530,866517,98799,35124
40,1,0,"Province-1",1190755,44351,1146404,443014,649594,36632,864107,883723,140580,453858,25960,294897,485949,665113,306854,29189,9449
40,2,0,"Madhesh",1156383,51169,1105214,256449,504357,18932,864700,773084,90719,248016,16694,394596,779466,911795,125653,15215,6258
40,3,0,"Bagmati",1567917,48425,1519492,538667,971974,158786,1068668,1254709,474452,864913,99854,560736,242382,654781,570210,170077,22184
40,4,0,"Gandaki",661632,20722,640910,242696,394562,34188,470559,514690,107134,317007,24077,160097,89681,294894,209149,30220,3274
40,5,0,"Lumbini",1141345,35590,1105755,385532,536004,33796,851402,861496,127106,411035,28824,291415,526208,684227,277957,31207,13302
40,6,0,"Karnali",366037,26513,339524,168081,64558,6892,301010,213749,20470,74234,3039,24473,6604,45277,17139,1022,308
40,7,0,"Sudur Paschim",576772,31770,545002,245684,170136,12378,456115,361434,38017,145447,6542,89907,217143,279251,70233,2707,1826
50,1,1,"Taplejung",27776,1781,25995,15593,8775,992,23697,16728,1641,5121,253,1320,256,312,340,129,84
50,1,2,"Sankhuwasabha",39118,2584,36534,20862,14137,1280,31383,25009,2438,12585,350,3111,606,3263,2332,83,31
50,1,3,"Solukhumbu",26239,1843,24396,14680,8915,1148,20983,15273,1476,5773,258,1502,248,163,1054,230,17
50,1,4,"Okhaldhunga",34286,2799,31487,16457,9389,639,28316,18638,1297,4306,219,1798,203,464,550,31,16
50,1,5,"Khotang",41720,3486,38234,16309,10676,707,34469,23461,1828,6341,249,2828,552,495,783,119,37
50,1,6,"Bhojpur",38580,2887,35693,21932,9487,651,32211,22061,1530,10042,210,1754,220,456,584,39,20
50,1,7,"Dhankuta",37616,1146,36470,21689,20481,1409,31045,28835,3319,20487,610,4828,543,2814,2585,318,36
50,1,8,"Terhathum",21845,863,20982,11767,10514,530,18695,14715,1406,4316,117,1637,143,194,435,62,28
50,1,9,"Panchthar",42437,2300,40137,20897,16141,867,35639,28382,2341,12307,386,4542,365,1446,1022,136,34
50,1,10,"Ilam",70501,2447,68054,39909,38274,1931,59070,51383,5949,23960,1628,11741,5013,9627,4680,555,84
50,1,11,"Jhapa",245019,4602,240417,96182,166266,9664,162107,203416,36478,133663,7815,84867,149254,207104,99664,10431,3017
50,1,12,"Morang",272160,7686,264474,65444,175193,7317,180139,210996,39556,105463,6740,87937,185758,223669,94369,10019,3985
