area,prov,dist,area_name,TotHhld,total,male,feml,absnt_cntry_hhld,absnt_cntry_tot,absnt_cntry_male,absnt_cntry_feml,absnt_abrd_hhld,absnt_abrd_tot,absnt_abrd_male,absnt_abrd_feml
10,0,0,"Nepal",6666937,29164578,14253551,14911027,889522,2267236,1294935,972301,1555961,2190592,1799675,390917
21,0,0,"Urban Munipalities",4479662,19296788,9454545,9842243,507033,1183202,691644,491558,1044566,1468517,1186980,281537
22,0,0,"Rural Municipalities",2187275,9867790,4799006,5068784,382489,1084034,603291,480743,511395,722075,612695,109380
31,0,0,"Mountain",409799,1772948,874260,898688,93357,266719,148488,118231,66981,116060,81811,34249
32,0,0,"Hill",2949056,11757624,5717247,6040377,508447,1399384,771607,627777,691979,990723,787722,203001
33,0,0,"Tarai",3308082,15634006,7662044,7971962,287718,601133,374840,226293,797001,1083809,930142,153667
40,1,0,"Province-1",1191556,4961412,2417328,2544084,153603,347361,193634,153727,269892,343034,286631,56403
40,2,0,"Madhesh",1156715,6114600,3065751,3048849,76680,188548,120693,67855,252015,304286,292427,11859
40,3,0,"Bagmati",1570927,6116866,3048684,3068182,235374,713688,389907,323781,283228,397930,280120,117810
40,4,0,"Gandaki",662480,2466427,1170833,1295594,136668,362874,195458,167416,207910,286593,239788,46805
40,5,0,"Lumbini",1141902,5122078,2454408,2667670,144402,323011,192729,130282,308073,420906,367670,53236
40,6,0,"Karnali",366255,1688412,823761,864651,51905,121647,72052,49595,62728,94320,77278,17042
40,7,0,"Sudur Paschim",577102,2694783,1272786,1421997,90890,210107,130462,79645,172115,343523,255761,87762
50,1,1,"Taplejung",27798,120590,60773,59817,3645,8607,4526,4081,4847,6237,5374,863
50,1,2,"Sankhuwasabha",39173,158041,79579,78462,8418,19139,10368,8771,6369,7904,6858,1046
50,1,3,"Solukhumbu",26319,104851,52747,52104,6206,16109,8448,7661,3740,4948,3593,1355
50,1,4,"Okhaldhunga",34294,139552,68080,71472,8668,32316,17365,14951,5453,7449,6258,1191
50,1,5,"Khotang",41750,175298,86637,88661,11177,31222,16489,14733,8855,11207,10090,1117
50,1,6,"Bhojpur",38631,157923,78211,79712,8997,23871,12683,11188,7216,9109,8065,1044
50,1,7,"Dhankuta",37648,150599,73824,76775,7764,18942,9852,9090,7979,9592,8461,1131
50,1,8,"Terhathum",21857,88731,43581,45150,3855,9015,4863,4152,4680,5772,5221,551
50,1,9,"Panchthar",42495,172400,85683,86717,7731,16995,8889,8106,9455,11701,10326,1375
50,1,10,"Ilam",70532,279534,139431,140103,9783,19255,10118,9137,14795,18845,14949,3896
50,1,11,"Jhapa",245142,998054,478509,519545,21322,38551,22460,16091,69824,91314,73025,18289
50,1,12,"Morang",272283,1148156,557512,590644,22797,43507,25482,18025,60757,75868,63847,12021
50,1,13,"Sunsari",212545,926962,449023,477939,15784,28520,17800,10720,48412,62071,52049,10022
50,1,14,"Udayapur",81089,340721,163738,176983,17456,41312,24291,17021,17510,21017,18515,2502
50,2,15,"Saptari",146854,706255,351368,354887,9934,23548,15435,8113,28783,33510,32338,1172
